地區,屋齡,坪數,房,廳,衛,總價(萬),間數
大里區,24,156.11,3,2,2,565,7
大里區,25,146.39,3,2,2,530,7
大里區,40,82.85,2,2,2,300,6
大里區,25,112.09,3,2,2,407,7
大里區,28,98.59,3,2,2,358,7
大里區,32,110.02,3,1,2,400,6
大里區,26,145.73,4,2,2,530,8
大里區,28,90.71,3,2,2,330,7
大里區,34,99.43,3,2,2,362,7
大里區,27,128.41,4,1,2,468,7
大里區,38,105.59,3,2,1,385,6
大里區,26,123.24,3,2,2,450,7
大里區,41,91.73,3,2,1,335,6
大里區,4,442.07,4,2,2,1617,8
大里區,21,68.3,2,1,1,250,4
大里區,25,113.92,3,2,2,417,7
大里區,27,226.47,4,2,3,830,9
大里區,27,108.7,3,2,2,400,7
大里區,26,157.42,4,2,2,580,8
大里區,27,120.76,3,2,2,445,7
大里區,29,154.01,3,2,2,568,7
大里區,28,145.81,5,2,2,538,9
大里區,27,132.54,3,2,2,490,7
大里區,28,135.17,3,2,2,500,7
大里區,30,99.89,3,2,2,370,7
大里區,28,98.54,3,2,2,365,7
大里區,40,91.73,3,2,1,340,6
大里區,41,86.22,3,2,1,320,6
大里區,27,94.22,3,2,1,350,6
大里區,26,134.51,3,2,2,500,7
大里區,30,125.82,3,2,2,468,7
大里區,28,121.73,3,2,2,452.9,7
大里區,30,169.01,4,2,2,630,8
大里區,27,101.59,3,2,2,380,7
大里區,26,109.61,3,2,2,410,7
大里區,26,129.32,3,2,2,485,7
大里區,25,165.18,5,2,2,620,9
大里區,26,114.38,3,2,2,430,7
大里區,38,85.03,3,2,1,320,6
大里區,26,137.83,3,2,2,520,7
大里區,26,115.47,3,1,2,436,6
大里區,29,115.19,3,2,2,436,7
大里區,27,112.13,3,2,2,425,7
大里區,26,250.48,2,2,2,950,6
大里區,35,44.81,1,1,1,170,3
大里區,27,103.91,3,2,2,395,7
大里區,27,136.63,4,2,2,520,8
大里區,28,65.66,2,1,1,250,4
大里區,26,84.04,2,2,1,320,5
大里區,29,118.06,3,2,2,450,7
大里區,27,94.36,3,2,2,360,7
大里區,28,158.61,2,1,2,606,5
大里區,25,117.73,3,1,2,450,6
大里區,37,76.15,3,1,1,292,5
大里區,27,268.55,6,6,6,1030,18
大里區,41,81.6,3,2,2,313,7
大里區,27,101.6,2,2,2,390,6
大里區,25,130.19,3,2,2,500,7
大里區,28,150.95,1,2,1,580,4
大里區,38,86.61,3,2,1,333,6
大里區,29,93.5,2,2,1,360,5
大里區,29,116.72,3,1,1,450,5
大里區,28,136.15,3,2,2,527,7
大里區,27,129.08,3,1,2,500,6
大里區,30,136.8,3,2,2,530,7
大里區,22,109.66,3,2,2,425,7
大里區,28,86.46,2,1,1,336,4
大里區,32,101.29,4,2,2,395,8
大里區,27,258.57,6,6,6,1010,18
