區域,屋齡,建坪,間數,車位,總價(萬),亂數排列
清水區,0,180.96,7,有,712,0.965395987
大里區,3,169.78,7,有,765,0.031001772
北屯區,0,254.7,8,有,1616,0.618099308
大里區,0,93.05,3,有,630,0.778420906
北屯區,27,154.07,8,無,730,0.303992455
東區,0,179.79,7,有,1250,0.690114892
北區,1,238.38,9,有,1830,0.340829128
北屯區,34,104.08,7,無,560,0.692012575
北屯區,0,130.55,4,有,870,0.142073527
大甲區,1,71.7,6,無,415,0.182753997
大里區,21,84.52,5,無,438,0.658698418
烏日區,0,184.44,8,有,940,0.72551187
北區,48,89.56,17,無,1420,0.19858523
北屯區,2,103,5,有,563,0.791171888
大里區,0,125.65,5,有,685,0.509439022
北屯區,31,96.81,7,無,425,0.721756798
南屯區,12,117.75,5,有,748,0.58040129
大雅區,6,115.86,5,有,800,0.357655983
北屯區,0,126.31,7,有,830,0.823984088
太平區,32,76.73,6,無,388,0.387763421
太平區,0,131.1,5,有,683,0.552892431
西屯區,33,97.74,7,無,680,0.235623296
南區,4,213.22,7,有,1438,0.318803587
潭子區,29,111.68,8,有,600,0.572632089
沙鹿區,37,324.37,10,無,980,0.940206737
西屯區,36,95.51,7,無,515,0.05845393
清水區,36,114.03,11,無,620,0.414208122
霧峰區,1,62.32,3,無,392,0.929808832
烏日區,0,152.18,7,有,755,0.222121914
梧棲區,15,134.95,10,無,700,0.991985121
東區,0,147.18,7,有,860,0.182824391
大雅區,5,240.31,10,有,1310,0.228920792
西屯區,24,143.01,7,無,728,0.803251235
西屯區,0,118.99,5,有,958,0.759712468
北屯區,1,444.21,13,無,4800,0.452515363
北屯區,0,167.05,7,有,1141,0.382428865
北屯區,16,284.53,8,無,2500,0.800478434
烏日區,0,186.7,10,無,1368,0.090394735
豐原區,23,32.75,3,無,168,0.487559653
北屯區,0,198.37,7,有,1180,0.468604564
西區,39,158.01,8,無,690,0.178775242
西屯區,0,219.45,6,有,3269.6713,0.881084022
南屯區,28,122.39,7,無,668,0.322100694
太平區,0,96.44,7,無,740,0.677872856
中區,0,141.28,5,無,233.46,0.030378671
東區,4,156.24,7,有,1195,0.072093871
西屯區,3,160.36,7,有,1450,0.956762716
南屯區,26,111.28,7,有,598,0.570199172
西區,37,85.82,7,無,512,0.076357218
西屯區,25,76.17,4,有,580,0.535331317
烏日區,0,184.44,8,有,1084,0.45590676
龍井區,0,159.08,10,無,658,0.23217289
大里區,16,80.48,5,無,562,0.237402236
西屯區,11,78.28,3,無,577,0.671647748
大肚區,0,105.12,7,有,538,0.112896407
大里區,0,80.08,3,有,527,0.903990721
后里區,41,220.07,9,無,950,0.447146975
西屯區,0,164.61,7,有,1200,0.89962285
西區,48,49.73,4,無,1325,0.6586594
北屯區,5,162.64,7,有,1250,0.941184228
烏日區,0,122.55,5,有,600,0.070917425
西屯區,13,206.98,7,有,2127,0.489562624
大雅區,22,230.61,9,無,1800,0.451654726
北屯區,18,233.84,11,無,1832,0.778088553
北區,30,213.1,9,有,740,0.194235336
中區,50,60.58,5,無,137,0.999877884
大肚區,0,106.6,5,有,532,0.659342049
南屯區,0,178.16,7,有,1778,0.020074443
霧峰區,14,139.9,4,有,550,0.672949586
烏日區,0,127.14,6,有,640,0.718480488
西屯區,14,128.09,7,無,1000,0.673708645
北屯區,0,181.76,7,有,1080,0.105017603
豐原區,0,160.32,7,有,820,0.413114881
北屯區,27,264.01,8,有,1230,0.524577301
西屯區,13,214.88,8,有,1668,0.215542014
南屯區,1,274.89,10,無,3128,0.314653548
大雅區,4,215.82,14,無,1360,0.4583053
龍井區,0,105.92,4,無,500,0.155500588
北屯區,9,257.03,7,有,1500,0.816873236
北區,47,67.2,6,無,770,0.292297268
